post_id,user_id,topic_circle,engagement_seed
post_225,199,0_circle11,2
post_226,200,0_circle15,3
post_227,200,0_circle15,3
post_228,201,general,1
post_229,202,0_circle16,1
post_230,203,0_circle11,3
post_231,203,0_circle11,3
post_232,204,0_circle9,1
post_233,204,0_circle9,1
post_234,205,general,1
post_235,206,0_circle9,1
post_236,207,0_circle15,1
post_237,208,0_circle15,1
post_238,209,0_circle6,1
post_239,210,0_circle17,1
post_240,211,0_circle11,2
post_241,211,0_circle11,2
post_242,212,0_circle11,1
post_243,213,0_circle15,2
post_244,213,0_circle15,2
post_245,214,0_circle19,1
post_246,215,0_circle0,1
post_247,216,0_circle10,1
post_248,217,general,1
post_249,218,0_circle11,1
post_250,219,0_circle15,1
post_251,220,0_circle20,1
post_252,221,general,1
post_253,222,0_circle0,1
post_254,223,0_circle4,2
post_255,223,0_circle4,2
post_256,224,0_circle15,2
post_257,224,0_circle15,2
post_258,225,0_circle7,1
post_259,226,general,1
post_260,227,0_circle14,1
post_261,228,general,1
post_262,229,0_circle0,1
post_263,230,general,1
post_264,231,general,1
post_265,232,general,1
post_266,232,general,1
post_267,233,0_circle15,1
post_268,234,general,1
post_269,235,0_circle11,1
post_270,236,0_circle15,2
post_271,236,0_circle4,2
post_272,237,0_circle3,1
post_273,238,0_circle11,1
post_274,239,0_circle4,3
post_275,239,0_circle4,3
post_276,240,0_circle11,1
post_277,241,general,1
post_278,242,0_circle15,1
post_279,243,general,1
post_280,244,0_circle20,1
post_281,245,0_circle0,1
post_282,246,0_circle15,1
post_283,247,0_circle15,1
post_284,248,0_circle15,1
post_285,249,0_circle16,1
post_286,249,0_circle16,1
post_287,250,0_circle4,1
post_288,251,0_circle15,1
post_289,252,0_circle11,3
post_290,252,0_circle11,3
post_291,252,0_circle11,3
post_292,253,0_circle0,1
post_293,254,0_circle16,1
post_294,255,0_circle15,1
post_295,256,0_circle15,1
post_296,257,0_circle4,1
post_297,258,0_circle16,1
post_298,259,0_circle0,1
post_299,260,general,1
post_300,261,0_circle15,2
post_301,262,0_circle20,1
post_302,263,general,1
post_303,264,0_circle0,1
post_304,265,0_circle11,2
post_305,266,0_circle16,1
post_306,267,0_circle22,1
post_307,268,0_circle4,1
post_308,269,0_circle15,1
post_309,270,0_circle2,1
post_310,271,0_circle15,3
post_311,271,0_circle15,3
post_312,272,general,2
post_313,272,general,2
post_314,273,general,1
post_315,274,0_circle15,1
post_316,275,general,1
post_317,276,0_circle15,1
post_318,277,0_circle15,3
post_319,277,0_circle15,3
post_320,278,0_circle12,1
post_321,279,0_circle9,1
post_322,280,0_circle15,2
post_323,280,0_circle4,2
post_324,281,0_circle15,1
post_325,282,0_circle20,1
post_326,283,general,1
post_327,284,general,1
post_328,285,0_circle15,2
post_329,286,0_circle15,1
post_330,287,general,1
post_331,288,0_circle15,1
post_332,289,0_circle6,1
post_333,290,0_circle15,1
post_334,291,0_circle15,2
post_335,292,0_circle9,1
post_336,293,0_circle20,1
post_337,294,0_circle15,1
post_338,295,0_circle4,1
post_339,296,general,1
post_340,297,0_circle15,1
post_341,298,0_circle0,1
post_342,299,0_circle16,1
post_343,300,general,1
post_344,301,0_circle15,1
post_345,302,general,1
post_346,303,0_circle15,1
post_347,304,0_circle15,3
post_348,304,0_circle15,3
post_349,305,general,1
post_350,306,general,1
post_351,307,general,1
post_352,308,0_circle11,1
post_353,309,0_circle15,1
post_354,310,0_circle6,1
post_355,311,0_circle11,1
post_356,312,0_circle19,2
post_357,313,0_circle11,2
post_358,314,0_circle15,1
post_359,315,0_circle15,3
post_360,315,0_circle15,3
post_361,315,0_circle15,3
post_362,316,0_circle15,1
post_363,317,0_circle15,1
post_364,318,0_circle15,1
post_365,319,0_circle15,1
post_366,320,general,1
post_367,321,0_circle6,1
post_368,322,0_circle15,3
post_369,322,0_circle15,3
post_370,322,0_circle15,3
post_371,323,0_circle15,2
post_372,323,0_circle15,2
post_373,324,0_circle11,2
post_374,324,0_circle11,2
post_375,325,0_circle15,2
post_376,325,0_circle15,2
post_377,326,0_circle19,1
post_378,327,0_circle2,1
post_379,328,0_circle15,1
post_380,329,general,2
post_381,330,0_circle16,1
post_382,331,0_circle11,1
post_383,332,0_circle11,2
post_384,333,0_circle19,1
post_385,334,0_circle0,2
post_386,334,0_circle0,2
post_387,335,general,1
post_388,336,0_circle9,1
post_389,337,0_circle6,1
post_390,338,0_circle15,1
post_391,339,0_circle15,2
post_392,340,0_circle15,1
post_393,341,0_circle15,1
post_394,342,0_circle15,2
post_395,343,0_circle19,1
post_396,344,0_circle4,1
post_397,345,0_circle15,1
post_398,346,general,2
post_399,347,0_circle15,1
post_400,348,107_circle3,3
post_401,348,414_circle0,3
post_402,349,348_circle1,1
post_403,350,348_circle1,1
post_404,351,348_circle6,1
post_405,352,348_circle1,1
post_406,352,348_circle11,1
post_407,353,348_circle1,5
post_408,353,348_circle11,5
post_409,353,348_circle1,5
post_410,353,348_circle11,5
post_411,354,348_circle1,2
post_412,355,348_circle1,2
post_413,355,348_circle13,2
post_414,356,348_circle1,1
post_415,357,348_circle1,1
post_416,358,348_circle6,1
post_417,359,348_circle1,2
post_418,360,348_circle1,2
post_419,361,348_circle1,1
post_420,362,348_circle1,1
post_421,363,107_circle3,4
post_422,363,348_circle1,4
post_423,363,348_circle11,4
post_424,364,348_circle6,1
post_425,365,348_circle11,1
post_426,366,107_circle3,4
post_427,366,348_circle0,4
post_428,367,348_circle1,2
post_429,368,348_circle1,2
post_430,368,348_circle11,2
post_431,369,348_circle1,2
post_432,369,348_circle7,2
post_433,370,348_circle1,3
post_434,370,348_circle11,3
post_435,370,348_circle13,3
post_436,371,348_circle1,1
post_437,372,348_circle1,1
post_438,373,348_circle0,4
post_439,373,348_circle1,4
post_440,374,348_circle1,3
post_441,374,348_circle11,3
post_442,375,348_circle1,1
post_443,376,348_circle0,6
post_444,376,348_circle1,6
post_445,376,348_circle11,6
post_446,377,348_circle1,1
post_447,378,348_circle1,3
post_448,378,348_circle11,3
post_449,378,348_circle7,3
post_450,379,348_circle1,1
post_451,380,348_circle1,1
post_452,381,348_circle1,1
post_453,382,348_circle1,1
post_454,383,348_circle1,1
post_455,384,general,1
post_456,385,348_circle1,1
post_457,386,general,1
post_458,387,348_circle0,2
post_459,388,348_circle0,2
post_460,389,107_circle1,2
post_461,390,348_circle1,1
post_462,391,348_circle0,3
post_463,391,348_circle1,3
post_464,392,348_circle1,2
post_465,393,348_circle6,1
post_466,394,348_circle1,2
post_467,394,348_circle11,2
post_468,395,348_circle1,4
post_469,395,348_circle11,4
post_470,396,348_circle1,2
post_471,397,348_circle1,2
post_472,398,348_circle1,2
post_473,398,348_circle11,2
post_474,399,348_circle6,1
post_475,400,348_circle0,3
post_476,400,348_circle1,3
post_477,401,general,1
post_478,402,348_circle1,3
post_479,402,348_circle11,3
post_480,402,348_circle13,3
post_481,403,348_circle1,1
post_482,404,348_circle1,3
post_483,404,348_circle11,3
post_484,405,348_circle1,1
post_485,406,348_circle1,1
post_486,407,348_circle1,1
post_487,408,348_circle0,3
post_488,408,348_circle1,3
post_489,409,348_circle1,2
post_490,410,348_circle1,1
post_491,411,348_circle10,1
post_492,412,348_circle1,4
post_493,412,348_circle11,4
post_494,413,348_circle1,1
post_495,414,107_circle6,3
post_496,414,348_circle0,3
post_497,414,348_circle1,3
post_498,415,348_circle1,2
post_499,416,348_circle1,1
post_500,417,348_circle1,3
post_501,417,348_circle11,3
post_502,417,348_circle1,3
post_503,418,348_circle1,1
post_504,419,348_circle1,3
post_505,419,348_circle11,3
post_506,420,107_circle3,2
post_507,420,348_circle1,2
post_508,421,348_circle1,1
post_509,422,348_circle1,3
post_510,422,414_circle6,3
post_511,423,348_circle1,3
post_512,423,348_circle11,3
post_513,423,414_circle1,3
post_514,424,348_circle1,1
post_515,425,348_circle1,1
post_516,426,348_circle1,1
post_517,427,348_circle11,1
post_518,428,107_circle3,5
post_519,428,1912_circle10,5
post_520,428,1912_circle21,5
post_521,429,348_circle1,1
post_522,430,348_circle1,2
post_523,431,348_circle0,3
post_524,431,348_circle1,3
post_525,432,348_circle1,3
post_526,432,348_circle11,3
post_527,433,348_circle1,1
post_528,434,348_circle1,2
post_529,434,348_circle11,2
post_530,435,348_circle1,1
post_531,436,348_circle1,3
post_532,436,348_circle11,3
post_533,436,348_circle8,3
post_534,437,348_circle1,1
post_535,438,348_circle1,3
post_536,438,348_circle11,3
post_537,438,348_circle13,3
post_538,439,348_circle1,2
post_539,440,348_circle1,1
post_540,441,348_circle6,1
post_541,442,348_circle1,1
post_542,443,general,1
post_543,444,348_circle1,2
post_544,445,348_circle1,2
post_545,446,348_circle1,1
post_546,447,348_circle6,1
post_547,448,348_circle1,1
post_548,449,348_circle1,1
post_549,450,348_circle0,1
post_550,450,348_circle1,1
post_551,451,348_circle1,1
post_552,451,348_circle11,1
post_553,452,348_circle0,2
post_554,453,348_circle1,1
post_555,454,348_circle6,1
post_556,455,348_circle1,2
post_557,456,348_circle1,3
post_558,456,348_circle11,3
post_559,456,348_circle2,3
post_560,457,348_circle1,1
post_561,458,348_circle1,2
post_562,459,348_circle1,1
post_563,460,348_circle1,3
post_564,460,348_circle11,3
post_565,460,348_circle13,3
post_566,461,348_circle0,3
post_567,461,348_circle1,3
post_568,462,348_circle1,1
post_569,463,348_circle0,2
post_570,464,general,1
post_571,465,348_circle1,4
post_572,465,348_circle11,4
post_573,465,348_circle12,4
post_574,466,348_circle1,1
post_575,467,348_circle1,1
post_576,468,348_circle10,1
post_577,469,348_circle1,1
post_578,470,348_circle1,1
post_579,471,348_circle1,2
post_580,472,348_circle1,1
post_581,473,348_circle1,2
post_582,473,348_circle11,2
post_583,474,348_circle1,1
post_584,475,348_circle0,5
post_585,475,348_circle1,5
post_586,475,348_circle11,5
post_587,476,348_circle1,1
post_588,477,348_circle1,1
post_589,478,348_circle1,1
post_590,479,348_circle1,2
post_591,480,348_circle1,1
post_592,481,348_circle1,2
post_593,481,348_circle13,2
post_594,482,348_circle1,2
post_595,483,348_circle1,10
post_596,483,348_circle11,10
post_597,483,414_circle1,10
post_598,483,414_circle6,10
post_599,484,348_circle1,5
post_600,484,348_circle11,5
post_601,484,348_circle2,5
post_602,484,348_circle1,5
post_603,485,348_circle1,1
post_604,486,348_circle1,1
post_605,487,348_circle1,2
post_606,487,348_circle11,2
post_607,488,348_circle1,2
post_608,489,348_circle1,1
post_609,490,348_circle1,1
post_610,491,348_circle1,1
post_611,492,348_circle1,3
post_612,492,348_circle11,3
post_613,493,348_circle1,3
post_614,493,348_circle11,3
post_615,494,348_circle1,1
post_616,494,348_circle11,1
post_617,495,348_circle1,1
post_618,495,348_circle11,1
post_619,496,348_circle1,2
post_620,496,348_circle11,2
post_621,497,348_circle1,4
post_622,497,348_circle11,4
post_623,498,348_circle10,1
post_624,499,348_circle1,1
post_625,500,348_circle0,4
post_626,500,348_circle1,4
post_627,500,348_circle11,4
post_628,501,348_circle6,1
post_629,502,348_circle1,1
post_630,503,348_circle1,3
post_631,503,348_circle11,3
post_632,503,348_circle2,3
post_633,504,348_circle1,2
post_634,504,348_circle13,2
post_635,505,348_circle1,1
post_636,506,348_circle1,3
post_637,506,348_circle11,3
post_638,507,348_circle1,3
post_639,507,348_circle11,3
post_640,507,348_circle13,3
post_641,508,348_circle1,1
post_642,509,348_circle1,1
post_643,510,348_circle1,2
post_644,511,348_circle1,2
post_645,512,348_circle1,2
post_646,512,348_circle11,2
post_647,513,348_circle0,4
post_648,513,348_circle1,4
post_649,513,348_circle11,4
post_650,514,348_circle1,3
post_651,514,348_circle11,3
post_652,515,348_circle1,3
post_653,515,348_circle11,3
post_654,515,348_circle13,3
post_655,516,348_circle1,1
post_656,517,107_circle3,5
post_657,517,348_circle0,5
post_658,517,348_circle1,5
post_659,517,348_circle11,5
post_660,518,348_circle1,1
post_661,519,348_circle1,1
post_662,520,348_circle1,2
post_663,521,348_circle1,1
post_664,522,348_circle1,1
post_665,523,348_circle1,2
post_666,524,348_circle0,3
post_667,524,348_circle1,3
post_668,525,348_circle0,3
post_669,525,348_circle1,3
post_670,526,107_circle6,4
post_671,526,348_circle1,4
post_672,526,348_circle11,4
post_673,527,348_circle1,2
post_674,527,348_circle11,2
post_675,528,348_circle1,1
post_676,529,348_circle1,1
post_677,530,348_circle1,1
post_678,531,348_circle1,2
post_679,532,348_circle1,1
post_680,533,348_circle1,1
post_681,534,348_circle1,1
post_682,535,348_circle1,1
post_683,536,348_circle1,1
post_684,537,348_circle1,2
post_685,538,348_circle1,4
post_686,538,348_circle11,4
post_687,539,348_circle1,1
post_688,540,348_circle1,1
post_689,541,348_circle1,1
post_690,542,348_circle1,3
post_691,542,348_circle11,3
post_692,543,348_circle1,1
post_693,544,348_circle1,3
post_694,544,348_circle11,3
post_695,544,348_circle13,3
post_696,545,348_circle1,2
post_697,546,348_circle1,2
post_698,546,348_circle13,2
post_699,547,348_circle1,2
post_700,548,348_circle1,2
post_701,548,348_circle13,2
post_702,549,348_circle11,1
post_703,550,general,1
post_704,551,348_circle1,1
post_705,552,general,1
post_706,553,348_circle1,4
post_707,553,348_circle11,4
post_708,553,348_circle13,4
post_709,554,348_circle1,1
post_710,555,348_circle1,2
post_711,556,348_circle1,2
post_712,557,348_circle1,2
post_713,557,348_circle13,2
post_714,558,348_circle1,1
post_715,559,348_circle1,4
post_716,559,348_circle11,4
post_717,559,414_circle1,4
post_718,560,348_circle1,2
post_719,561,348_circle1,4
post_720,561,348_circle11,4
post_721,562,348_circle1,1
post_722,563,107_circle1,4
post_723,563,107_circle3,4
post_724,564,348_circle6,1
post_725,565,348_circle1,1
post_726,566,107_circle3,4
post_727,566,348_circle1,4
post_728,567,348_circle1,3
post_729,567,348_circle11,3
post_730,567,414_circle1,3
post_731,568,348_circle1,1
post_732,569,348_circle1,1
post_733,570,348_circle1,2
post_734,571,348_circle1,1
post_735,572,348_circle1,1
post_736,573,414_circle6,2
post_737,574,414_circle6,1
post_738,575,414_circle6,1
post_739,576,414_circle4,1
post_740,577,414_circle4,1
post_741,578,414_circle4,1
post_742,579,414_circle3,2
post_743,580,414_circle1,4
post_744,580,414_circle1,4
post_745,580,414_circle1,4
post_746,581,general,1
post_747,582,414_circle4,1
post_748,583,414_circle4,1
post_749,584,414_circle5,1
post_750,585,general,1
post_751,586,general,1
post_752,587,general,1
post_753,588,414_circle6,1
post_754,589,414_circle6,1
post_755,590,414_circle1,1
post_756,591,414_circle1,2
post_757,591,414_circle1,2
post_758,592,414_circle3,2
post_759,593,general,1
post_760,594,3980_circle6,1
post_761,595,414_circle4,1
post_762,596,414_circle6,2
post_763,596,414_circle6,2
post_764,597,414_circle3,1
post_765,598,414_circle6,1
post_766,599,414_circle4,1
post_767,600,414_circle4,1
post_768,600,414_circle4,1
post_769,601,414_circle1,2
post_770,602,414_circle5,1
post_771,603,414_circle3,1
post_772,604,414_circle1,2
post_773,605,414_circle6,1
post_774,606,107_circle3,4
post_775,606,414_circle1,4
post_776,607,414_circle1,1
post_777,608,general,1
post_778,609,414_circle6,2
post_779,610,general,1
post_780,611,414_circle3,1
post_781,612,414_circle6,1
post_782,613,general,1
post_783,614,414_circle1,2
post_784,615,414_circle4,1
post_785,616,414_circle5,1
post_786,617,414_circle6,1
post_787,618,414_circle6,1
post_788,618,414_circle6,1
post_789,619,414_circle6,2
post_790,619,414_circle6,2
post_791,620,414_circle6,1
post_792,621,414_circle6,1
post_793,622,414_circle6,1
post_794,623,414_circle6,1
post_795,624,general,1
post_796,625,414_circle6,1
post_797,626,414_circle6,1
post_798,627,414_circle4,1
post_799,628,414_circle4,1
post_800,629,414_circle6,1
post_801,630,414_circle6,2
post_802,631,414_circle5,1
post_803,632,414_circle4,1
post_804,633,414_circle6,1
post_805,634,general,1
post_806,635,414_circle4,1
post_807,636,414_circle6,1
post_808,636,414_circle6,1
post_809,637,414_circle1,5
post_810,637,414_circle6,5
post_811,637,414_circle1,5
post_812,638,414_circle6,1
post_813,639,414_circle5,1
post_814,640,414_circle4,1
post_815,641,414_circle1,3
post_816,641,414_circle6,3
post_817,642,general,1
post_818,643,414_circle4,1
post_819,643,414_circle4,1
post_820,644,414_circle6,1
post_821,645,general,2
post_822,645,general,2
post_823,646,general,1
post_824,647,414_circle4,1
post_825,648,general,1
post_826,649,414_circle2,1
post_827,650,414_circle4,1
post_828,650,414_circle4,1
post_829,651,107_circle3,3
post_830,651,414_circle1,3
post_831,652,general,1
post_832,653,414_circle6,2
post_833,654,414_circle6,2
post_834,654,414_circle6,2
post_835,655,414_circle6,1
post_836,656,general,1
post_837,657,414_circle6,1
post_838,658,414_circle4,1
post_839,658,414_circle4,1
post_840,659,414_circle4,1
post_841,660,414_circle5,1
post_842,661,414_circle4,1
post_843,661,414_circle4,1
post_844,662,414_circle4,1
post_845,663,414_circle6,1
post_846,664,414_circle6,1
post_847,665,414_circle4,1
post_848,666,414_circle6,1
post_849,667,414_circle2,1
post_850,668,414_circle1,1
post_851,669,414_circle1,2
post_852,670,414_circle4,1
post_853,671,general,1
post_854,672,414_circle6,1
post_855,673,general,1
post_856,674,414_circle1,1
post_857,675,414_circle4,1
post_858,676,414_circle1,1
post_859,677,414_circle3,1
post_860,678,414_circle5,2
post_861,679,414_circle5,1
post_862,680,414_circle6,2
post_863,680,414_circle6,2
post_864,681,414_circle4,1
post_865,682,414_circle5,1
post_866,683,414_circle1,2
post_867,683,414_circle1,2
post_868,684,414_circle3,1
post_869,685,414_circle6,1
post_870,686,general,1
post_871,687,686_circle0,2
post_872,688,686_circle4,2
post_873,689,686_circle2,1
post_874,690,686_circle9,1
post_875,691,686_circle1,1
post_876,692,686_circle3,1
post_877,693,686_circle4,1
post_878,694,686_circle13,3
post_879,694,686_circle4,3
post_880,694,686_circle9,3
post_881,695,686_circle4,2
post_882,695,686_circle9,2
post_883,696,686_circle4,2
post_884,697,686_circle0,3
post_885,697,686_circle13,3
post_886,697,686_circle4,3
post_887,698,686_circle0,2
post_888,699,686_circle2,1
post_889,700,686_circle0,1
post_890,701,686_circle4,1
post_891,702,686_circle11,1
post_892,703,686_circle0,2
post_893,704,686_circle8,1
post_894,705,686_circle0,3
post_895,705,686_circle11,3
post_896,706,686_circle4,1
post_897,707,686_circle2,1
post_898,708,686_circle0,2
post_899,708,686_circle12,2
post_900,709,686_circle0,1
post_901,710,686_circle3,1
post_902,711,686_circle9,1
post_903,712,686_circle2,1
post_904,713,686_circle4,3
post_905,713,686_circle9,3
post_906,713,698_circle0,3
post_907,714,686_circle11,1
post_908,715,686_circle3,1
post_909,716,686_circle0,1
post_910,717,686_circle0,1
post_911,718,686_circle0,2
post_912,718,686_circle4,2
post_913,719,686_circle0,3
post_914,719,686_circle12,3
post_915,720,686_circle0,1
post_916,721,686_circle6,1
post_917,722,686_circle1,1
post_918,723,686_circle9,1
post_919,724,686_circle4,2
post_920,725,686_circle11,1
post_921,726,686_circle4,2
post_922,727,686_circle9,2
post_923,728,686_circle0,2
post_924,728,686_circle12,2
post_925,729,686_circle3,1
post_926,730,686_circle0,1
post_927,731,686_circle4,2
post_928,732,686_circle2,1
post_929,733,686_circle1,1
post_930,734,686_circle9,1
post_931,735,686_circle3,1
post_932,736,686_circle1,1
post_933,737,686_circle0,1
post_934,738,686_circle9,1
post_935,739,686_circle0,2
post_936,740,686_circle8,1
post_937,741,686_circle0,1
post_938,742,686_circle1,1
post_939,743,686_circle1,1
post_940,744,686_circle7,1
post_941,745,686_circle0,3
post_942,745,686_circle12,3
post_943,746,686_circle1,1
post_944,747,686_circle0,3
post_945,747,686_circle1,3
post_946,747,686_circle12,3
post_947,748,686_circle0,1
post_948,749,686_circle13,1
post_949,750,686_circle8,1
post_950,751,686_circle9,1
post_951,752,686_circle4,2
post_952,753,686_circle3,1
post_953,754,686_circle0,2
post_954,754,686_circle4,2
post_955,755,686_circle0,1
post_956,756,686_circle9,1
post_957,757,686_circle1,1
post_958,758,686_circle0,1
post_959,759,686_circle0,1
post_960,760,686_circle4,2
post_961,761,686_circle3,1
post_962,762,686_circle3,1
post_963,763,686_circle0,1
post_964,764,686_circle0,2
post_965,765,686_circle0,1
post_966,766,686_circle4,2
post_967,766,686_circle9,2
post_968,767,686_circle2,1
post_969,768,686_circle1,1
post_970,769,686_circle0,1
post_971,770,686_circle0,2
post_972,770,686_circle12,2
post_973,771,686_circle1,1
post_974,772,686_circle13,1
post_975,773,686_circle4,2
post_976,773,686_circle4,2
post_977,774,686_circle0,2
post_978,775,686_circle0,1
post_979,776,686_circle2,1
post_980,777,686_circle4,1
post_981,778,686_circle4,1
post_982,779,686_circle0,1
post_983,780,686_circle0,2
post_984,780,686_circle13,2
post_985,781,686_circle0,3
post_986,781,686_circle12,3
post_987,782,686_circle0,1
post_988,783,686_circle0,1
post_989,784,686_circle9,2
post_990,785,686_circle7,1
post_991,786,686_circle1,1
post_992,787,686_circle0,2
post_993,787,686_circle12,2
post_994,788,686_circle2,1
post_995,789,686_circle1,1
post_996,790,686_circle0,1
post_997,791,686_circle11,1
post_998,792,686_circle0,1
post_999,793,686_circle0,1
post_1000,794,686_circle9,1
post_1001,795,686_circle9,1
post_1002,796,686_circle2,1
post_1003,797,686_circle0,2
post_1004,797,686_circle12,2
post_1005,798,686_circle0,1
post_1006,799,686_circle12,1
post_1007,800,686_circle13,2
post_1008,801,686_circle13,1
post_1009,802,686_circle11,1
post_1010,803,686_circle0,1
post_1011,804,686_circle0,1
post_1012,805,686_circle0,3
post_1013,805,686_circle11,3
post_1014,806,686_circle1,1
post_1015,807,686_circle0,1
post_1016,808,686_circle0,1
post_1017,809,686_circle0,1
post_1018,810,686_circle2,2
post_1019,811,686_circle3,1
post_1020,812,686_circle0,1
